TransID;ElemID
680626;129338
680627;126235
680632;102272
680632;102377
680635;124361
680638;75257
680647;116329
680652;125277
680653;110298
680653;125327
680653;125427
680653;126806
680653;127253
680655;124584
680655;128554
680658;125878
680667;128664
680667;129339
680667;129341
680670;124696
680677;124743
680677;124744
680677;125139
680677;125427
680680;123238
680685;95350
680691;88257
680694;124589
680699;124738
680706;91411
680708;103567
680708;125327
680708;126160
680708;127326
680710;121970
680711;92853
680715;125412
680715;128222
680722;126235
680722;129301
680728;123822
680730;127104
680732;85182
680732;104293
680732;105067
680732;119086
680732;125885
680732;128879
680733;127916
680736;99102
680737;78194
680740;116516
680747;129714
680748;107479
680754;123279
680755;126235
680761;88797
680763;128260
680779;97120
680780;125295
680783;125295
680785;121269
680785;127336
680788;93558
680788;109221
680788;113696
680788;122678
680788;122821
680788;125885
680788;126235
680788;129167
680795;99118
680798;125566
680802;106093
680802;126833
680804;127336
680804;128801
680806;111891
680808;125361
680808;127822
680810;101474
680812;120427
680812;125186
680814;92953
680814;92954
680814;100121
680814;108649
680814;109009
680814;109279
680814;115496
680814;119293
680814;123357
680814;124121
680814;124392
680814;125131
680814;126238
680814;126385
680814;127804
680814;127825
680814;129164
680814;129485
680818;127916
680830;98639
680830;123692
680830;124513
680830;124544
680833;97175
680833;123620
680833;129771
680839;126988
680839;126989
680842;122958
680842;125147
680842;125327
680843;58583
680843;99913
680844;128095
680845;74405
680845;106137
680845;121970
680850;87979
680850;103567
680850;111244
680850;120495
680851;105626
680858;77827
680862;127916
680868;128095
680871;78779
680876;96687
680876;123620
680876;124340
680876;129771
680878;125327
680878;128801
680888;115716
680896;122821
680896;128624
680896;128761
680898;105626
680898;122478
680903;102348
680908;125208
680908;128852
680911;119828
680911;125109
680911;128059
680911;128295
680912;100411
680912;101071
680912;103051
680912;104975
680912;109784
680912;121269
680912;122653
680912;122768
680912;122977
680912;125360
680912;125694
680912;125739
680912;125740
680912;126301
680912;127465
680912;127596
680912;127912
680912;128027
680912;128174
680912;128785
680912;129315
680912;129677
680912;129786
680919;91340
680919;95350
680919;97534
680919;99662
680919;99682
680919;99683
680919;103966
680919;105032
680919;119293
680919;122654
680919;122678
680919;123628
680919;124157
680919;124404
680919;125016
680919;125885
680919;128416
680919;128809
680919;129098
680919;129167
680919;129199
680919;129208
680919;129320
680919;129339
680920;116516
680926;124500
680936;85050
680936;85051
680936;125910
680936;129667
680938;122824
680938;129771
680948;119293
680951;127922
680951;128502
680951;129338
680954;82284
680954;102165
680954;104207
680954;116803
680954;116804
680954;122808
680954;122944
680954;122947
680954;123668
680954;125600
680954;128266
680954;128982
680954;129476
680957;122958
680957;129331
680959;116843
680959;122806
680959;125166
680959;128614
680969;126516
680969;129339
680976;107479
680979;52198
680979;64409
680979;67258
680979;79698
680979;87587
680979;88181
680979;96521
680979;101091
680979;101675
680979;102216
680979;102232
680979;102790
680979;117131
680979;120908
680979;122824
680979;123869
680979;123871
680979;124751
680979;125083
680979;126912
680979;127290
680979;127434
680979;127642
680979;127643
680979;129285
680979;129365
680980;122418
680982;100486
680982;120174
680982;122699
680982;128047
680992;127788
680995;99262
680995;118104
680995;124961
680995;125293
681000;96802
681001;99663
681001;101844
681001;101880
681001;103748
681005;87979
681005;111244
681010;95350
681010;111261
681010;122950
681010;128541
681014;125954
681014;125956
681014;128317
681017;75619
681017;90781
681017;93558
681017;100943
681017;106842
681017;108365
681017;121269
681017;122678
681017;123333
681017;123526
681017;124155
681017;125327
681017;125412
681017;125503
681017;125885
681017;126620
681017;127507
681017;128222
681017;128317
681017;129447
681017;129628
681022;99913
681024;103567
681024;122904
681025;129777
681031;107358
681031;124494
681031;124495
681031;124920
681031;129714
681033;125327
681033;126455
681033;127336
681033;127577
681039;129566
681045;108932
681050;126351
681050;128048
681055;113750
681058;122927
681058;125186
681058;126723
681058;127946
681058;129323
681070;115496
681070;124156
681070;126071
681073;126799
681074;97679
681074;126721
681074;127672
681075;127946
681081;100886
681081;102617
681081;102618
681081;103095
681081;103780
681081;104985
681081;113639
681085;122678
681085;125885
681088;103209
681089;98734
681102;91883
681102;96884
681102;96975
681102;113750
681102;115894
681102;126669
681108;106498
681108;106972
681108;119667
